Material,   Count, Price per unit, Total, Link
6116,           1,               ,      ,
28C64,          0,              0,      ,
28C512,         0,              0,      ,
74HC00,         0,              0,      ,
74HC85,         0,              0,      ,
74HC86,         0,              0,      ,
74HC151,        0,              0,      ,
74HC161,        3,              0,      ,
74HC245,        1,              0,      ,
74HC273,        5,              0,      ,
74HC283,        0,              0,      ,
100nF C,        9,,,
12uF C,         4,,,
USB poweronly,  1,,,
5.1k Resistor,  1,,,
1nF >=50V C,    1,,,
